ID,Construction_ID,Parameter_ID,Code_ID,Example_IDs,Source,Value,Description
constr58-cparam3,constr58,cparam3,,,evans-1995[180],?,In any case (p. 180) verbal datives (and other verbal cases) cannot be relativized on or be a pivot in a complex construction. Not clear for oblique non-verbal cases (apparently relativization possible).
constr61-cparam3,constr61,cparam3,cparam3-c4,ex14;ex74,ch10nedjalkov1997,either T or R (but not both),"RCs are either participial postnominal or finite (with a relative pronoun). In participial relative clauses, objects (P,T) can be relativized. Indirect object can only be relativized by a finite (“conjunctive”) RC (with a relative pronoun)."
constr62-cparam3,constr62,cparam3,cparam3-c4,ex15;ex75,ch001everettkern1997[88],either T or R (but not both),Postnominal finite relativization. Both T (76) and R (15) can be relativized. NB only constituents which are cross-referenced by VIC (AGR) can be relativized. NB there is a rule of “anti-agreement”: if the object is moved (focused/relativized) object agreement is lost (see (125d))
constr67-cparam3,constr67,cparam3,,ex16,ch001cole1982,?,Normally prenominal participial. R can be relativized along with other objects; but even obliques can be relativized “Internal” Relative Clauses also allow for R relativization p. 55 (186b) [Juzi warmi-man kulki-ta kara-shka]-ka sumaj warmi-mi José woman-to silver-ACC give-NMLZ-TOP beautiful woman-VAL ‘The woman to whom José gave the money is a beautiful woman.’ NB RC like (186b) can be ambiguous indirect or direct object relativization.
constr70-cparam3,constr70,cparam3,cparam3-c7,ex76,lehmann-1993,only T,Objects (P=T) can be relativized in participial RCs; indirect objects not clear.
constr74-cparam3,constr74,cparam3,,ex17,engelenhoven-na,?,Relativization is postnominal finite. The oblique NP (R) may be relativized; then the directional (deverbal) clitic is stranded in the RC (229).
constr76-cparam3,constr76,cparam3,cparam3-c4,ex18;ex77,guerrero-2006,either T or R (but not both),"Subject relatives by agentive nominalizations in –me, object relatives by gerunds/nominalizations in -u. The RCs are thus non-finite and postnominal. In object relativization the subordinate subject is expressed as a possessor. Guerrero 2006: R can be relativized like P by a participial gapping strategy (cf. (8a); though a resumptive proclitic (8b) can also be used in that case. T can be relativized through the latter (resumptive) strategy; not clear if it can also be relativized through the gapping strategy."
constr77-cparam3,constr77,cparam3,cparam3-c4,ex19;ex78,guerrero-2006,either T or R (but not both),"Subject relatives by agentive nominalizations in –me, object relatives by gerunds/nominalizations in -u. The RCs are thus non-finite and postnominal. In object relativization the subordinate subject is expressed as a possessor. In the dative construction, both objects can be relativized through gapping in combination with the resumptive object proclitic; but here R-relativization is distinguished by a special dative proclitic."
constr79-cparam3,constr79,cparam3,cparam3-c4,ex8;ex70,,either T or R (but not both),"Apparently, both R and T can be relativized as preposition retention is said to be optional. Not addressed. Note that SW calls - misleadingly - RC-modification “relativization”."
constr81-cparam3,constr81,cparam3,cparam3-c4,,peterson-1998[118],either T or R (but not both),Relativization is pronominal participial; the relative form of the verb retains subject agreement. NB there are different relative forms/participles for A-relativization and for S/Op relativization (also separate forms for OBL relativization).
constr82-cparam3,constr82,cparam3,cparam3-c4,ex20;ex79,peterson-1998,either T or R (but not both),Both T and R can be relativized.
constr83-cparam3,constr83,cparam3,cparam3-c4,ex21;ex80,peterson-1998,either T or R (but not both),Both objects can be relativized. NB relativization is neutral. Also with other applicatives
constr91-cparam3,constr91,cparam3,cparam3-c4,ex22;ex81,ch001thornes2003[280],either T or R (but not both),"Postnominal gapping relativization, with object-relativization (with the nominalizer –dI) distinct from subject relativization. Both T and R relativize like P (symmetric)."
constr96-cparam3,constr96,cparam3,cparam3-c7,ex23;ex82,chung-ra-1983[228],only T,"Postnominal gapping RCs with complementizer jang. Only subjects and objects can relativize with this strategy (cf. 35a)), NB Actually maybe only subjects, as relativization of objects may be mediated by a rule of object-preposing; although Chung does not agree. Importantly, IOs/PPs cannot."
constr97-cparam3,constr97,cparam3,cparam3-c6,ex24;ex83,chung-ra-1983,only R,"Derived object (=R) undergoes relativization, (underlying) object (=T) cannot."
constr98-cparam3,constr98,cparam3,,,chung-ra-1983,?,Presumably like in applicative secundative construction.
constr99-cparam3,constr99,cparam3,cparam3-c7,ex84,cooreman-1987[48 f.],only T,RCs are postnominal and introduced by a relativizer ni; if object is relativized the verb takes the nominalizer IN (which is identical to passive IN; both regarded as Goal Focus by Topping?). NB apparently only T can be relativized by the IN strategy; note that obliques are relativized by bare nominalizations (cf. 48-49).
constr100-cparam3,constr100,cparam3,cparam3-c4,ex25,cooreman-1987[117],either T or R (but not both),"Extraction (questioning, relativization, focussing) of both objects from the applicative construction is possible. Extraction involves the use of “goal-focussing” strategies: “goal focus” makers IN (according to Topping), passive IN or passive nominalizer IN (according to Cooreman). See below for relativization of (shifted) R/applied object. But apparently T relativization is also posible (no examples given); (cf. Questions)"
constr103-cparam3,constr103,cparam3,cparam3-c4,ex26;ex85,heath-1998[186 ff.],either T or R (but not both),"Relativization is postnominal gapping (for core arguments), or with resumptive pronouns for obliques. RC is introduced by relativizer kaa (also complementizer ‘that’). When PPs are relativized, there is a possibility of fronting the postposition to REL, or leaving it in situ with a resumptive pronoun. Relativization of T is possible only from the indirective (dative construction); for R this is also preferable."
constr105-cparam3,constr105,cparam3,cparam3-c2,ex27,,NEITHER,Relativization of T is impossible from a double object construction; relativization of R is questionable.
constr106-cparam3,constr106,cparam3,cparam3-c4,,,either T or R (but not both),[Examples need to be found.]
constr107-cparam3,constr107,cparam3,cparam3-c4,,lapolla-j.-2003,either T or R (but not both),"RCs are (usually) pronominal, participial, gapping or with a resumptive pronoun. Several nominalizers/participles: (i) -m to relativize animate A/S, also R/BEN arguments (ii) –s to relativize animate INSTR (also LOC) (iii) –tO (=GEN) to relativize on inanimate O/T/S (p. 225 “if the head is undergoer, or other non-instrument, including an inanimate actor”)."
constr108-cparam3,constr108,cparam3,cparam3-c4,ex28;ex86,lapolla-j.-2003[223],either T or R (but not both),Note distinct relativization strategies (participles) for R and P. R-relativization by the animate relativizer -m; T (also inanimate P/S) relativizer tO NB animate nominalizer –m < mi ‘man’.
constr109-cparam3,constr109,cparam3,,,dayley-1989[358],?,"RCs are postnominal participial, and may involve a relative pronoun (=obviative demonstrative). Cf. P-relativization: p. 360; (103) deer [REL man/GEN shoot-PTCPL] ‘the dear that man shot’ No ditransitive examples given. Oblique (postpositional) relativization are prenominal and involve a resumptive pronoun: p. 369; (138) it=with my cut-PART] knife ‘the knife I cut with’"
constr111-cparam3,constr111,cparam3,cparam3-c1,ex29,thompson-etal-2006[115-123],...,"Only one example of REC relativization, but there is no reason to suspect that THM relativization would not be possible. However, since relative clauses are internally headed, it seems that one would not be able to distinguish them. The example ‘I saw the man you gave the basket to’ presumably can also be translated as ‘I saw the basket you gave to the man’."
constr114-cparam3,constr114,cparam3,cparam3-c4,,ch01luepke2005[80],either T or R (but not both),RC through a correlative structure (using the relative pronoun naaxan(sg)/naaxee(pl)). Any NP can be relativized.
constr115-cparam3,constr115,cparam3,cparam3-c4,,ch01luepke2005[80],either T or R (but not both),RC through a correlative structure (using the relative pronoun naaxan(sg)/naaxee(pl)). Any NP can be relativized.
constr116-cparam3,constr116,cparam3,cparam3-c4,ex87,ch01luepke2005[80],either T or R (but not both),RC through a correlative structure (using the relative pronoun naaxan(sg)/naaxee(pl)). Any NP can be relativized. Cf. relativization of oblique T
constr117-cparam3,constr117,cparam3,cparam3-c4,,ch01luepke2005[80],either T or R (but not both),RC through a correlative structure (using the relative pronoun naaxan(sg)/naaxee(pl)). Any NP can be relativized.
constr118-cparam3,constr118,cparam3,cparam3-c4,,ch01luepke2005[80],either T or R (but not both),RC through a correlative structure (using the relative pronoun naaxan(sg)/naaxee(pl)). Any NP can be relativized.
constr119-cparam3,constr119,cparam3,cparam3-c5,ex30;ex88,bhat-ningomba-1997[278],either T or R or both,"Relative clauses either a) prenominal participial gapping, or b) internal RCs. a) external RCs: any NP can be relativized; b) internal RCs (B280); apparently only unmarked objects (P/T) can be relativized (16ab) [I-Ag box buy-NZR-]DET ‘the box that I bought’"
constr120-cparam3,constr120,cparam3,cparam3-c4,,,either T or R (but not both),
constr121-cparam3,constr121,cparam3,cparam3-c4,,,either T or R (but not both),
constr126-cparam3,constr126,cparam3,cparam3-c4,ex31;ex89,ch05collins2004[191-193],either T or R (but not both),"When the R is relativized, a resumptive pronoun is left behind (also with dative-marked arguments of intransitive/applicativized verbs); when the T is relativized, no resumptive pronoun is left behind. (Collins 2004:193: “The fact that a resumptive pronoun needs to be left behind suggests that the dative -a is a clitic. As a clitic, dative -a must combine with a preceding DP.”)"
constr127-cparam3,constr127,cparam3,cparam3-c6,ex32;ex90,ch001fortescue1984,only R,"RCs are postnominal participial (49): Only the absolutive argument can be relativized: (absolutive) S is relativized by the intransitive participle in –suq, (absolutive) P by the transitive (passive) participle -saq. Only the absolutive R can be relativized from the secundative construction, to relativize on a secondary object applicative (”anti-benefactive”) derivation is needed; see ex. (a) below: R can be relativized directly by means of a transitive/passive participle, or indirectly by means of the intransitive participle in combinatiion with the passive (see ex. (b) below)."
constr128-cparam3,constr128,cparam3,cparam3-c7,,,only T,"RCs are postnominal participial (49): Only the absolutive argument can be relativized: (absolutive) S is relativized by the intransitive participle in –suq, (absolutive) P by the transitive (passive) participle -saq. Only the absolutive T can be relativized from the indirective construction (no examples found)."
constr129-cparam3,constr129,cparam3,cparam3-c4,,wali-koul-1997[54],either T or R (but not both),"Relative clauses are usually finite and include a relative pronouns; they can be either a) postnominal or b) correlative. In both cases no restrictions on relativizing objects (T and R); see examples under Perfective construction. (There is also a participial (nonfinite) RCs, but those are restricted to subject relativization)."
constr130-cparam3,constr130,cparam3,cparam3-c4,ex33;ex91,wali-koul-1997[54],either T or R (but not both),"Relative clauses are usually finite and include a relative pronouns; they can be either a) postnominal or b) correlative. In both cases no restrictions on relativizing objects (T and R); see examples below. (There is also a participial (nonfinite) RCs, but those are restricted to subject relativization)."
constr131-cparam3,constr131,cparam3,cparam3-c4,ex34,ch001nikolaeva1999[76],either T or R (but not both),"Prenominal gapping RCs; object relativization involves possessive marking of the RC head in agreement with the A/S of the RC (lit. I seeing man-my ‘the man whom I saw’). Apart from P, R and OBL arguments can also be relativized;. See an example of R-relativization below; here relativization of the R is clearly from the indirective pattern, as T is unmarked; For an example of T-relativization see the indirective construction with T-fronting."
constr132-cparam3,constr132,cparam3,cparam3-c4,ex92,ch001nikolaeva1999[76],either T or R (but not both),"Prenominal gapping RCs; object relativization involves possessive marking of the RC head in agreement with the A/S of the RC (lit. I seeing man-my ‘the man whom I saw’). Apart from P, R and OBL arguments can also be relativized; see an example of T-relativization below (this RC is presumably related to the T-shifted construction, where T is more topical)."
constr133-cparam3,constr133,cparam3,cparam3-c4,,ch001nikolaeva1999[76],either T or R (but not both),"Prenominal gapping RCs; object relativization involves possessive marking of the RC head in agreement with the A/S of the RC (lit. I seeing man-my ‘the man whom I saw’). Apart from P, R and OBL arguments can also be relativized; see examples of R-relativization and T-relativization under Indirective construction with T fronting and T-shifting."
constr134-cparam3,constr134,cparam3,cparam3-c4,ex35,ch001bruce1984[108],either T or R (but not both),"Usually a postnominal non-finite gapping strategy (with no indexing on the verb); there may be also a postposed nonfinite RCs making use of an (optional) relative/ demonstrative pronoun (a verbal proclitic). Relativization equally applies to subjects and objects (both primary and secondary, and also oblique objects). See ex. (177c) of R relativization below. Note that this example can mean both ‘the European to whom we gave money’ OR ‘the European who gave money to us’"
constr135-cparam3,constr135,cparam3,cparam3-c4,,ch001bruce1984[108],either T or R (but not both),"Usually a postnominal non-finite (no indexing on the verb) gapping strategy; there may be also a postposed nonfinite RCs making use of an (optional) relative/demonstrative pronoun (a verbal proclitic). Relativization equally applies to subjects and objects (both primary and secondary, and also oblique objects)."
constr136-cparam3,constr136,cparam3,,,ch01kimball1991[525],?,"Either by switch reference or by participial RCs. In the latter case, RCs seem to be head internal (the case marker appears on the last constituent of the RC, on the participle): p. 525; (34) [my-father-subj woman see-PART]-NOM.FOC ‘the woman that my father saw’ No restrictions noted; no ditransitive examples available."
constr137-cparam3,constr137,cparam3,cparam3-c6,,haude-2006[302],only R,"Postnominal RCs with a relative particle di’. Voice marking retained. Only ARG2 (the absolutive argument) can be relativized, which means that P (like S) arguments are relativized from a direct pattern (e.g., (193), and A can be relativized from the inverse pattern (e.g., (196)). No ditransitive examples given."
constr138-cparam3,constr138,cparam3,cparam3-c2,,haude-2006[302],NEITHER,"Postnominal RCs with a relative particle di’. Voice marking retained. Since only ARG2 (the absolutive argument) can be relativized, A can be relativized from the inverse pattern (e.g., (196)), but R and T cannot. No ditransitive examples given."
constr139-cparam3,constr139,cparam3,cparam3-c4,,francois-re-2002[175],either T or R (but not both),Either postnominal finite introduced by an (indeclinable) relativizer (house [REL I born PROG] ‘house where I was born’). Or (more frequently) through clause chaining. Apparently in both cases no restrictions.
constr140-cparam3,constr140,cparam3,cparam3-c4,,francois-re-2002[175],either T or R (but not both),Either postnominal finite introduced by an (indeclinable) relativizer (house [REL I born PROG] ‘house where I was born’). Or (more frequently) through clause chaining. Apparently in both cases no restrictions.
constr141-cparam3,constr141,cparam3,,ex93,ch001dixon1972[99],?,"RCs are participial postnominal: the participle takes –ŋu suffix replacing tense, and additionally case suffix in agreement with the head NP (zero with nominative NPs). Only S/P arguments can be relativized, relativization of A requires an an antipassive transformation of the relative clause (this is mentioned on p. 100 with respect to RCs in the nominative position, but apparently holds for RCs in general). Thus, only T is relativizable here. Dative NPs can be modified by an RC, but a homophonous allative (and also ablative) cannot (see below under P-reativization)."
constr142-cparam3,constr142,cparam3,,,ch001dixon1972[99],?,"RCs are participial postnominal: the participle takes –ŋu suffix replacing tense, and additionally case suffix in agreement with the head NP (zero with nominative NPs). Only S/P arguments can be relativized, relativization of A requires an an antipassive transformation of the relative clause (this is mentioned on p. 100 with respect to RCs in the nominative position, but apparently holds for RCs in general). Thus, only T is relativizable here."
constr143-cparam3,constr143,cparam3,,,ch001dixon1972[99-100],?,"RCs are participial postnominal: the participle takes –ŋu suffix replacing tense, and additionally case suffix in agreement with the head NP (zero with nominative NPs). Only S/P arguments can be relativized, relativization of A requires an an antipassive transformation of the relative clause (this is mentioned on p. 100 with respect to RCs in the nominative position, but apparently holds for RCs in general). Thus, only R is relativizable here."
constr144-cparam3,constr144,cparam3,cparam3-c4,ex94,ch001donohue1999[368],either T or R (but not both),"Several types of Relative clauses, including: subject RC (A/S-relativization): through the use of the subject infix –um-; object RC through the use of object prefix i- instead of subject prefixes (A is encoded as Possessor); general RC (unmarked “instrumental” RC) which may be used to relativize on both core ad oblique arguments (even on base objects of applicatives, which normally resist relativization). Both R and T can be apparently relativized from a ditransitive construction (see ex. under Antipassive Construction); though T can be also relativized indirectly through a T-applicative (T-promoting) “anti-benefactive” construction. However, on p. 277 it is stated that only R of ditransitive verbs may head an object RC (??)."
constr145-cparam3,constr145,cparam3,cparam3-c4,ex36;ex95,ch001donohue1999[368],either T or R (but not both),"Several types of Relative clauses, incuding: subject RC (A/S-relativization): through the use of the subject infix –um-; object RC through the use of object prefix i- instead of subject prefixes (A is encoded as Poss-r); general RC (unmarked “instrumental” RC) which may be used to relativize on both core ad oblique arguments (even on base objects of applicatives, which normally resist relativization. Both R and T can be relativized from a ditransitive construction (see below); if T is relativized then R indexed by possessive AGR (alternatively, (61) can mean ‘shirt that he gave’, POS referring to A)."
constr146-cparam3,constr146,cparam3,cparam3-c7,,ch001donohue1999[368],only T,"Several types of Relative clauses, incuding: subject RC (A/S-relativization): through the use of the subject infix –um-; object RC through the use of object prefix i- instead of subject prefixes (A is encoded as Poss-r); general RC (unmarked “instrumental” RC) which may be used to relativize on both core ad oblique arguments (even on base objects of applicatives, which normally resist relativization. Only T can be relativized from this construction, as object relativization does not apply to oblique arguments"
constr147-cparam3,constr147,cparam3,cparam3-c4,,frank-1985[133],either T or R (but not both),"Internally headed relative clauses; the relativized NP usually in RC initial position, case of the head attached to last RC constituent. Usually subject relativization (p. 131; (257)), but relativization of objects (Ps) and oblique objects is also possible by his strategy (ex. (260), (261)). Thus both R and T should be able to relativize although no ditransitive examples are given."
constr148-cparam3,constr148,cparam3,cparam3-c4,ex37,sohn-1994[67],either T or R (but not both),"Prenominal gapping RCs; both T and R (along with other objects, including oblique objects) may be relativized; see (13d) for relativization of (DAT) R."
constr149-cparam3,constr149,cparam3,cparam3-c4,ex96,sohn-1994[67],either T or R (but not both),"Prenominal gapping RCs; both T and R (along with other objects, including oblique objects) may be relativized; see (13d) for relativization of (DAT) R. O’Grady (p. 57) notes that relativization is equally possible for terms and OBLs; it is also possible for T from a double object construction (p. 57; (16)). (note however that according to Kozinsky&Polinsky 1993, in derived causative ditransitive constructions, P cannot relativize in the presence of the accusative causee; p. 300, *(48))."
constr153-cparam3,constr153,cparam3,cparam3-c4,ex38,kruspe-2004[251],either T or R (but not both),Indirect objects like other core arguments (but unlike obliques) can form RCs by a gapping strategy. The verb takes the relative proclitic mE=; cf. R-relativization; p. 341; (15).
constr154-cparam3,constr154,cparam3,cparam3-c4,,,either T or R (but not both),See Locative construction.
constr155-cparam3,constr155,cparam3,cparam3-c4,ex39;ex97,saltarelli-1988[36];hualde-urbina-2003[775],either T or R (but not both),"Relative clauses by adding complementizer/relativizer -(e)n to the inflected verb or (more often) inflected auxiliary. The verb (“participial” -(e)n form) additionally agrees with the head NP in case. Both (ergative) A, absolutive S/P/T and dative R (which are indexed on the verb) are freely relativized. Obliques can be normally relativized only if they matching case with the case of the head N. see (202) for R-relativization and (1867) for T-relativization. U&H, 775; “dative NPs can be relativized but … it does not seem to be as easy as for subjects and direct objects” (in processing terms)."
constr156-cparam3,constr156,cparam3,cparam3-c8,ex98,,only T freely,"Apparently, BEN-relativization is subject to the case matching condition, which holds generally for obliques (see Dative Construction). Yet the example with case-matching seems hardly acceptable (see below; Julen Manterola Agirre p.c.)."
constr157-cparam3,constr157,cparam3,cparam3-c4,,burling-2004[298 ff.],either T or R (but not both),RCs pronominal participial gapping. Not only core arguments but also obliques can be relativized that way (cf. p. 3000; women firewood-acc cutting ax ‘the ax with which the women cut the firewood’).
constr159-cparam3,constr159,cparam3,cparam3-c4,,austin-1981[204],either T or R (but not both),"“Adjoined” RCs, with the markers –Na (same subject) or –NaNi (different subject); signaling switch reference with respect to S/A arguments. Pronouns can be omitted in a RC or can be retained. (p. 210; (539), (540)). Obviously no restrictions on relativization."
constr160-cparam3,constr160,cparam3,cparam3-c4,,,either T or R (but not both),
constr161-cparam3,constr161,cparam3,cparam3-c4,,pensalfini-2003[123],either T or R (but not both),"“Adjoined” RCs; the verb remains finite (with agreement retained), often introduced by a demonstrative (or relative?) pronoun. No restrictions on relativization noted."
constr162-cparam3,constr162,cparam3,cparam3-c4,,pensalfini-2003[123],either T or R (but not both),"“Adjoined” RCs; the verb remains finite (with agreement retained), often introduced by a demonstrative (or relative?) pronoun. No restrictions on relativization noted."
constr163-cparam3,constr163,cparam3,cparam3-c4,,,either T or R (but not both),
constr164-cparam3,constr164,cparam3,,,ch001georgvolodin1999[203],?,RCs by finite verbs in combination with clause initial (noninflected) relative pronoun min. The latter is used to relativize subjects and objects (or maybe just subject as object RC in (361) looks like a passive). Not clear if R can be relativized that way. There is however another RC which involves an interrogative pronouns and which can relativize obliques (p. 204; (363)).
constr166-cparam3,constr166,cparam3,cparam3-c8,ex40;ex99,xu-peyraube-1997[108],only T freely,"Theme relativization is more acceptable than recipient relativization. Note that in relative clauses, it is impossible to tell whether we are dealing with the T-R construction or the R-T construction."
constr167-cparam3,constr167,cparam3,,,,?,"Note that in relative clauses, it is impossible to tell whether we are dealing with the T-R construction or the R-T construction. Since the R-T construction is relatively restricted, no data on relativization are given here."
constr169-cparam3,constr169,cparam3,cparam3-c4,ex41;ex100,konig-heine-2010,either T or R (but not both),"Relativization by postnominal finite clause introduced by a relative pronoun. Both R (as in (11a)) and T (as in (11b)) can undergo relativization. Importantly, (unless a resumptive pronoun is used) retained (second) objects remain unmarked (see (11)), which suggests that not only the underlying first object may be relativized."
constr170-cparam3,constr170,cparam3,cparam3-c4,,,either T or R (but not both),
constr171-cparam3,constr171,cparam3,cparam3-c4,,,either T or R (but not both),
constr172-cparam3,constr172,cparam3,cparam3-c4,,,either T or R (but not both),
constr173-cparam3,constr173,cparam3,cparam3-c4,ex42;ex101,ch03lefebvre1994[89],either T or R (but not both),Both R and T can be relativized; relativization is postnominal gapping; RC introduced by demonstrative/relative pronoun; see R-relativization in (49c) and T-relativization in (50c)
constr174-cparam3,constr174,cparam3,,,,?,No examples of relativization from Indirective prepositional construction; thus not clear whether prepositional R can be relativized by the same strategy.
constr175-cparam3,constr175,cparam3,,,,?,No examples of relativization from a Serial verb construction.
constr176-cparam3,constr176,cparam3,cparam3-c4,ex43,genetti-1997,either T or R (but not both),"Relativization pronominal gapping participial. Different forms of participles (“nominalizers”) for subject and object relativization (interestingly, with obliques both may be used). Both R and T are relativized by the object participle (no examples for T-relativization; cf. though P-relativization in 24); for R-relativization see (25) which is lit. ‘the son to whom he aid Bisma’. see FN 16)."
constr179-cparam3,constr179,cparam3,cparam3-c4,ex44;ex102,ch21rhodes2005[15-16],either T or R (but not both),"Relativization, postnominal or prenominal, finite (agreement retained), but the verb takes the REL-prefix. Both subjects and objects can be relativized: see (35b) for relativization of Primary Object, and (35c) for relativization of Secondary Object. NB yet is seems that there’s no object agreement in case of Secondary Object-relativization? (cf. 35c). Yes, no Secondary Object agreement in general in subordinate clauses (R. Rhodes, p.c.) Adjuncts are relativized restrictedly; mostly obliques must advance to object or “relative root complement” (i.e., complements of a sort of incorporated adposiitions) to relativize."
